primaryName,birthYear,deathYear,primaryProfession
Fred Astaire,1899,1987,"soundtrack,actor,miscellaneous"
Lauren Bacall,1924,2014,"actress,soundtrack"
Brigitte Bardot,1934,\N,"actress,soundtrack,producer"
John Belushi,1949,1982,"actor,writer,soundtrack"
Ingmar Bergman,1918,2007,"writer,director,actor"
Ingrid Bergman,1915,1982,"actress,soundtrack,producer"
Humphrey Bogart,1899,1957,"actor,soundtrack,producer"
Marlon Brando,1924,2004,"actor,soundtrack,director"
Richard Burton,1925,1984,"actor,producer,soundtrack"
James Cagney,1899,1986,"actor,soundtrack,director"
Gary Cooper,1901,1961,"actor,soundtrack,producer"
Bette Davis,1908,1989,"actress,soundtrack,make_up_department"
Doris Day,1922,\N,"soundtrack,actress,producer"
Olivia de Havilland,1916,\N,"actress,soundtrack"
James Dean,1931,1955,"actor,miscellaneous"
Georges Delerue,1925,1992,"composer,soundtrack,music_department"
Marlene Dietrich,1901,1992,"soundtrack,actress,music_department"
Kirk Douglas,1916,\N,"actor,producer,soundtrack"
Federico Fellini,1920,1993,"writer,director,assistant_director"
Henry Fonda,1905,1982,"actor,producer,soundtrack"
Joan Fontaine,1917,2013,"actress,soundtrack,producer"
Clark Gable,1901,1960,"actor,soundtrack,producer"
Judy Garland,1922,1969,"soundtrack,actress"
John Gielgud,1904,2000,"actor,writer,director"
Jerry Goldsmith,1929,2004,"music_department,soundtrack,composer"
Cary Grant,1904,1986,"actor,soundtrack,producer"
Alec Guinness,1914,2000,"actor,soundtrack,writer"
Rita Hayworth,1918,1987,"actress,soundtrack,producer"
Margaux Hemingway,1954,1996,"actress,miscellaneous"
Audrey Hepburn,1929,1993,"actress,soundtrack"
Katharine Hepburn,1907,2003,"actress,soundtrack,writer"
Charlton Heston,1923,2008,"actor,director,writer"
Alfred Hitchcock,1899,1980,"actor,director,producer"
William Holden,1918,1981,"actor,soundtrack"
James Horner,1953,2015,"music_department,soundtrack,composer"
Buster Keaton,1895,1966,"actor,writer,director"
Gene Kelly,1912,1996,"actor,soundtrack,director"
Grace Kelly,1929,1982,"actress,soundtrack"
Deborah Kerr,1921,2007,"actress,soundtrack"
